PID,Gender,Race,Age,Born US,Education,EQ,AQ
PID001,Female,White / Caucasian,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",144,17
PID002,Non-binary/non-conforming,White / Caucasian,20,Yes,"Some college credit, no degree",126,29
PID003,Female,Hispanic/ Latinx,20,Yes,"Some college credit, no degree",132,22
PID004,Male,White / Caucasian,20,Yes,"Some college credit, no degree",123,19
PID005,Female,Hispanic/ Latinx,21,Yes,"Associate degree (for example: AA, AS)",138,24
PID006,Male,White / Caucasian,49,No,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",153,11
PID007,Female,Asian,20,Yes,"High school graduate, diploma or the equivalent (for example: GED)",132,18
PID008,Female,Asian,22,No,"Some college credit, no degree",117,27
PID009,Male,White / Caucasian,19,Yes,"Some college credit, no degree",96,23
PID010,Female,Hispanic/ Latinx,35,No,"Associate degree (for example: AA, AS)",146,17
PID011,Female,Black / African American,21,No,"Some college credit, no degree",125,20
PID013,Female,Asian,20,Yes,"Some college credit, no degree",131,10
PID013,Male,Asian,19,Yes,"Some college credit, no degree",134,16
PID015,Female,Hispanic/ Latinx,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",145,17
PID016,Female,Prefer not to answer,21,Yes,"Some college credit, no degree",146,11
PID017,Male,White / Caucasian,20,Yes,"Some college credit, no degree",149,21
PID018,Female,White / Caucasian,22,Yes,"High school graduate, diploma or the equivalent (for example: GED)",113,20
PID019,Female,Asian,20,No,"High school graduate, diploma or the equivalent (for example: GED)",121,17
PID020,Female,White / Caucasian,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",108,31
PID020,Female,Asian,21,No,"Some college credit, no degree",115,17
PID022,Female,Prefer not to answer,23,No,"Some college credit, no degree",99,24
PID023,Female,Asian,22,No,"Some college credit, no degree",119,22
PID024,Female,MIXED ASIAN INDIAN AND WHITE,23,Yes,"Associate degree (for example: AA, AS)",135,15
PID025,Female,Black / African American,20,Yes,"Some college credit, no degree",116,19
PID026,Female,Hispanic/ Latinx,20,Yes,"Associate degree (for example: AA, AS)",123,17
PID027,Male,Hispanic/ Latinx,20,No,"Some college credit, no degree",121,18
PID028,Female,Pacific Islander,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",120,19
PID029,Female,Hispanic/ Latinx,18,Yes,"Some college credit, no degree",132,18
PID030,Male,Hispanic/ Latinx,18,No,"High school graduate, diploma or the equivalent (for example: GED)",136,11
PID031,Female,White / Caucasian,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",141,13
PID032,Female,FILIPINA AND IRISH,19,Yes,"Some college credit, no degree",101,28
