PID,Gender,Age,Born US,Education,EQ,AQ
BF083,Female,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",121,16
BF083,Female,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",125,17
BF056,Male,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",147,18
BF102,Male,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",117,13
BF026,Male,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",125,11
BF090,Male,18,No,"Some college credit, no degree",149,9
BF092,Female,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",129,21
BF068,Male,18,Yes,"Associate degree (for example: AA, AS)",122,19
BF060,Female,18,Yes,"High school graduate, diploma or the equivalent (for example: GED)",134,19
BF051,Female,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",123,19
BF059,Female,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",132,6
BF061,Female,19,No,"High school graduate, diploma or the equivalent (for example: GED)",149,12
BF013,Non-binary/non-conforming,19,Yes,"Associate degree (for example: AA, AS)",146,13
BF073,Female,19,Yes,"Bachelor's degree (for example: BA, AB, BS)",122,11
BF074,Female,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",132,17
BF085,Female,19,Yes,"Some college credit, no degree",137,13
3038901413,Female,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",123,19
BF044,Female,19,Yes,"Some college credit, no degree",103,25
BF077,Female,19,Yes,"Some college credit, no degree",143,15
BF077,Female,19,Yes,"Some college credit, no degree",155,16
BF040,Female,19,Yes,"High school graduate, diploma or the equivalent (for example: GED)",155,7
BF099,Female,19,Yes,"Associate degree (for example: AA, AS)",138,15
BF080,Male,19,Yes,"Some college credit, no degree",148,11
BF044,Female,19,Yes,"Some college credit, no degree",120,19
BF015,Female,20,No,"High school graduate, diploma or the equivalent (for example: GED)",123,19
BF027,Female,20,Yes,"Some college credit, no degree",125,21
BF042,Female,20,Yes,"Some college credit, no degree",117,28
BF067,Female,20,Yes,"Some college credit, no degree",129,24
BF069,Female,20,Yes,"High school graduate, diploma or the equivalent (for example: GED)",127,25
BF076,Female,20,Yes,"Some college credit, no degree",134,15
BF089,Female,20,Yes,"Associate degree (for example: AA, AS)",148,10
BF098,Female,20,Yes,"Some college credit, no degree",119,27
BF038,Male,20,Yes,"High school graduate, diploma or the equivalent (for example: GED)",131,16
BF041,Male,20,Yes,"High school graduate, diploma or the equivalent (for example: GED)",92,15
BF072,Male,20,No,"Bachelor's degree (for example: BA, AB, BS)",129,26
BF101,Male,20,Yes,"Bachelor's degree (for example: BA, AB, BS)",137,20
